,Nominal Pipe Diameter (inches),1/2,3/4,1,1-/1/4,1-1/2,2,2-1/2,3,3-1/2,4
8.6,Cold Water - Flush Valve,0,0,0,13,35,132,329,666,1091,1668
8.8,Cold Water - Flush Valve,0,0,0,13,35,132,329,666,1091,1668
9,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
9.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
9.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
9.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
9.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
10,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
10.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
10.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
10.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
10.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
11,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
11.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
11.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
11.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
11.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
12,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
12.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
12.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
12.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
12.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
13,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
13.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
13.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
13.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
13.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
14,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
14.2,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
14.4,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
14.6,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
14.8,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
15,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
15.5,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
16,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
16.5,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
17,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
17.5,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
18,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
19,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
20,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
21,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
22,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
23,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
24,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
25,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
>25,Cold Water - Flush Valve,0,0,0,14,35,132,329,666,1091,1668
